ИННЮЛ,КПП,КодПок,Период,ПризнСтав,ПривнСрокУпл,НалБаза,СумАкциз
0542001269,054201001,10001,09,0,01,2079471.0,89417253.0
0542001269,054201001,10001,09,0,02,2079471.0,89417253.0
0542001269,054201001,10001,09,0,03,2079471.0,89417253.0
0542001269,054201001,10025,09,0,01,3304.061,105730.0
0542001269,054201001,10025,09,0,02,3304.061,105730.0
0542001269,054201001,10025,09,0,03,3304.061,105730.0
